T_s,UHS_10000yr_g,CMS_total_PSA0p2_g,Median_total_PSA0p2_scenario_g,CMS_total_PSA3p0_g,Median_total_PSA3p0_scenario_g,CMS_total_given_D_g,CMS_Dgt0_PSA0p2_g,CMS_Deq0_PSA0p2_g
0.01,1.469791,1.278055299,0.5491959888,0.6712869896,0.5406422617,0.4909737426,1.311522044,1.246499192
0.02,1.489075,1.28145575,0.5533810701,0.6793313359,0.5523295341,0.4952987447,1.316228953,1.249160782
0.03,1.573008,1.321391691,0.5718911457,0.7080106571,0.5835010917,0.5190799538,1.358133481,1.288638342
0.05,1.898259,1.492861131,0.652575236,0.7942296162,0.6812152782,0.5979229899,1.532244166,1.458106736
0.075,2.352238,1.758852365,0.7892489761,0.8881930813,0.805698726,0.7072093856,1.802438753,1.719774943
0.1,2.694965,2.006844914,0.9213842522,0.9671222089,0.9090763502,0.8109133111,2.052477392,1.965196081
0.15,3.133067,2.754472151,1.141021622,1.182010591,1.06852953,0.9944987305,2.776422363,2.734405132
0.2,3.434458,3.43452678,1.275040141,1.332725387,1.147742359,1.128098172,3.43452678,3.43452678
0.25,3.603595599,3.355761604,1.319539674,1.472970601,1.21036086,1.179945607,3.395709646,3.310188877
0.3,3.747956,3.185186203,1.302345266,1.553976489,1.215763532,1.176203143,3.261926959,3.099381695
0.4,3.491894,2.621476077,1.163213351,1.601618941,1.15014404,1.092842272,2.75854137,2.489844778
0.5,3.21391,2.160964894,1.02505833,1.571952331,1.044845717,1.012997979,2.326583929,2.015090926
0.75,2.565406,1.378536338,0.7428337476,1.428949978,0.8074088604,0.8109304989,1.54130938,1.243990439
1,2.017176,0.9409790669,0.5572058882,1.257273492,0.6315343855,0.647457973,1.075376603,0.8325233196
1.5,1.261594,0.4995616419,0.3379673955,0.9311356725,0.3960249179,0.4224249703,0.5872275056,0.4307536732
2,0.8663151,0.3082142617,0.2273225592,0.7256887602,0.2747226985,0.303332007,0.3702779493,0.2605318919
3,0.5284689,0.1596627271,0.1312345364,0.5284786735,0.1688352694,0.1955891372,0.1994894809,0.1300288459
4,0.3477544,0.097288753,0.08527469379,0.3065429041,0.1123754109,0.1344246803,0.1258166634,0.07747407417
5,0.2507572,0.06382154999,0.0582874575,0.1978396227,0.07914055979,0.09964968331,0.08465558788,0.05007793324
7.5,0.119493,0.02742642781,0.02648244669,0.07651709635,0.0360739615,0.05228284848,0.03758920317,0.02104314155
10,0.06957139,0.01480197933,0.01463762757,0.04013482504,0.02130323706,0.03257108295,0.02072245925,0.01118526105
