T_s,UHS_10000yr_g,CMS_PSA0p2_g,CMS_PSA3p0_g,CMS_given_D_g,median_spectrum_Dscenario_g,rho_D_PSA
0.01,1.469791,1.2827,0.668581,0.46871426,0.57708173,-0.39
0.02,1.489075,1.28591,0.676366,0.47657052,0.58690089,-0.39
0.03,1.573008,1.32788,0.704996,0.49690893,0.61301338,-0.39
0.05,1.898259,1.50383,0.792022,0.56945442,0.70572818,-0.39
0.075,2.352238,1.77684,0.887522,0.6720396,0.83685577,-0.39
0.1,2.694965,2.03136,0.968051,0.76642381,0.95468444,-0.39
0.15,3.133067,2.81844,1.18765,0.92516394,1.1475847,-0.39
0.2,3.434458,3.53383,1.34303,1.013764,1.2579875,-0.39
0.25,3.591207,3.36251,1.455155,1.0624365,1.324656,-0.39
0.3,3.747956,3.19119,1.56728,1.0582721,1.3310302,-0.39
0.4,3.491894,2.57812,1.61771,1.0144398,1.2404804,-0.328436036495
0.5,3.21391,2.09687,1.58764,0.93600775,1.117725,-0.280683316514
0.75,2.565406,1.29155,1.43628,0.748056,0.85121191,-0.193913783379
1,2.017176,0.858657,1.25951,0.60356773,0.66032764,-0.132349819874
1.5,1.261594,0.440608,0.92925,0.40279409,0.41557839,-0.0455802867391
2,0.8663151,0.265444,0.722863,0.2908321,0.28765745,0.0159836767656
3,0.5284689,0.133824,0.523099,0.19002647,0.17707554,0.102753209901
4,0.3477544,0.0808281,0.300864,0.13414861,0.1200162,0.164317173405
5,0.2507572,0.0527149,0.192416,0.09892476,0.085660557,0.212069893387
7.5,0.119493,0.0223705,0.0733617,0.049481491,0.040444918,0.298839426522
10,0.06957139,0.0119153,0.0379954,0.030242174,0.023808774,0.360403390026
