case,x_type,M_center,x_center,epsilon_center,contribution_fraction,contribution_percent
PSA0p2_total,Rrup_km,6.05,0.05,1,0.0009389431681,0.093894317
PSA0p2_total,Rrup_km,6.05,0.05,3,0.000915468978,0.091546898
PSA0p2_total,Rrup_km,6.05,0.05,5,1.630536514e-06,0.00016305365
PSA0p2_total,Rrup_km,6.05,1.05,1,0.0007732418532,0.077324185
PSA0p2_total,Rrup_km,6.05,1.05,3,0.00102643139,0.10264314
PSA0p2_total,Rrup_km,6.05,1.05,5,1.8343548e-06,0.00018343548
PSA0p2_total,Rrup_km,6.05,1.45,1,6.857076951e-05,0.006857077
PSA0p2_total,Rrup_km,6.05,1.45,3,0.0001139589927,0.011395899
PSA0p2_total,Rrup_km,6.05,1.45,5,2.038173086e-07,2.0381731e-05
PSA0p2_total,Rrup_km,6.05,1.95,1,0.0002859779512,0.028597795
PSA0p2_total,Rrup_km,6.05,1.95,3,0.0008619781619,0.086197816
PSA0p2_total,Rrup_km,6.05,1.95,5,1.631895042e-06,0.0001631895
PSA0p2_total,Rrup_km,6.05,2.05,1,0.0005600155168,0.056001552
PSA0p2_total,Rrup_km,6.05,2.05,3,0.001017869732,0.10178697
PSA0p2_total,Rrup_km,6.05,2.05,5,1.8343548e-06,0.00018343548
PSA0p2_total,Rrup_km,6.05,2.25,1,0.0001178048973,0.01178049
PSA0p2_total,Rrup_km,6.05,2.25,3,0.0003298574264,0.032985743
PSA0p2_total,Rrup_km,6.05,2.25,5,6.116200316e-07,6.1162003e-05
PSA0p2_total,Rrup_km,6.05,2.35,1,0.0002504460926,0.025044609
PSA0p2_total,Rrup_km,6.05,2.35,3,0.0008731640269,0.087316403
PSA0p2_total,Rrup_km,6.05,2.35,5,1.631895042e-06,0.0001631895
PSA0p2_total,Rrup_km,6.05,2.55,1,2.485822705e-05,0.0024858227
PSA0p2_total,Rrup_km,6.05,2.55,3,0.0001072738623,0.010727386
PSA0p2_total,Rrup_km,6.05,2.55,5,2.039863916e-07,2.0398639e-05
PSA0p2_total,Rrup_km,6.05,2.85,1,4.331211879e-05,0.0043312119
PSA0p2_total,Rrup_km,6.05,2.85,3,0.0002084333716,0.020843337
PSA0p2_total,Rrup_km,6.05,2.85,5,4.078037003e-07,4.078037e-05
PSA0p2_total,Rrup_km,6.05,3.05,1,0.0001901616594,0.019016166
PSA0p2_total,Rrup_km,6.05,3.05,3,0.0009545173715,0.095451737
PSA0p2_total,Rrup_km,6.05,3.05,5,1.835703555e-06,0.00018357036
PSA0p2_total,Rrup_km,6.05,3.15,1,2.263170725e-05,0.0022631707
PSA0p2_total,Rrup_km,6.05,3.15,3,0.0001994377664,0.019943777
PSA0p2_total,Rrup_km,6.05,3.15,5,4.078037003e-07,4.078037e-05
PSA0p2_total,Rrup_km,6.05,3.25,1,1.727177697e-05,0.0017271777
PSA0p2_total,Rrup_km,6.05,3.25,3,0.0001057921873,0.010579219
PSA0p2_total,Rrup_km,6.05,3.25,5,2.039863916e-07,2.0398639e-05
PSA0p2_total,Rrup_km,6.05,3.65,1,2.414055289e-05,0.0024140553
PSA0p2_total,Rrup_km,6.05,3.65,3,0.0002773361497,0.027733615
PSA0p2_total,Rrup_km,6.05,3.65,5,6.117900919e-07,6.1179009e-05
PSA0p2_total,Rrup_km,6.05,3.85,1,2.217919039e-06,0.0002217919
PSA0p2_total,Rrup_km,6.05,3.85,3,8.605209208e-05,0.0086052092
PSA0p2_total,Rrup_km,6.05,3.85,5,2.039863916e-07,2.0398639e-05
PSA0p2_total,Rrup_km,6.05,4.05,3,7.65673191e-05,0.0076567319
PSA0p2_total,Rrup_km,6.05,4.05,5,2.038173086e-07,2.0381731e-05
PSA0p2_total,Rrup_km,6.05,4.15,3,7.979260127e-05,0.0079792601
PSA0p2_total,Rrup_km,6.05,4.15,5,2.038173086e-07,2.0381731e-05
PSA0p2_total,Rrup_km,6.05,4.25,1,9.922336258e-07,9.9223363e-05
PSA0p2_total,Rrup_km,6.05,4.25,3,8.434415857e-05,0.0084344159
PSA0p2_total,Rrup_km,6.05,4.25,5,2.039863916e-07,2.0398639e-05
PSA0p2_total,Rrup_km,6.05,4.45,3,0.0001447379582,0.014473796
PSA0p2_total,Rrup_km,6.05,4.45,5,4.078037003e-07,4.078037e-05
PSA0p2_total,Rrup_km,6.05,4.65,3,6.635881235e-05,0.0066358812
