Quantity,T = 0.2 s Total UHS,T = 0.2 s D > 0 at total UHS,T = 0.2 s D = 0 at total UHS,T = 3.0 s Total UHS,T = 3.0 s D > 0 at total UHS,T = 3.0 s D = 0 at total UHS,D
Conditioning level,3.43453,3.43453,3.43453,0.528479,0.528479,0.528479,2.20461
Subset exceedance rate at level (/yr),0.0001,4.38699e-05,5.84397e-05,0.0001,5.08078e-05,5.07934e-05,
Subset weight at level,1,0.428795,0.571205,1,0.500071,0.499929,
Mean M,6.78801,7.00268,6.62686,7.05863,7.08366,7.03359,7.10333
Mean distance (km),1.5565,0.00814871,2.71883,1.14746,0.00814871,2.28709,0
Mean x/L,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mean epsilon,2.15204,1.97233,2.28694,2.04201,1.95008,2.13397,0.966587
rho(D-PSA),-0.39,-0.39,-0.39,0.102753,0.102753,0.102753,
"LA23 D_med at mean M,x/L (m)",,0.756488,,,0.854463,,0.880516
"PFDHA-implied D_med from D*,epsilon (m)",,,,,,,0.846749
D from LA23 site D_med and mean epsilon (m),,,,,,,2.27036
epsilon required for D* using LA23 site D_med,,,,,,,0.932285
D_med implied/site ratio,,,,,,,0.961651
Sigma displacement (m^0.3),,0.32413,,,0.326647,,0.327266
CMD (m),,0.263655,,,1.06602,,
LA23/PFDHA SOF used for CMD,strike-slip,strike-slip,strike-slip,strike-slip,strike-slip,strike-slip,strike-slip
OQ-exported total epsilon QA,2.08182,,,1.93449,,,
OQ-exported total mean M QA,6.78801,,,7.05863,,,
OQ-exported IML QA (g),3.43446,,,0.528469,,,
